Código do Produto;% Rentabilidade
CEE301089-301209;28.55
CEE301090-301209;35.61
CEE301091A;34.54
CEE201852;37.45
CEE206112;4.23
QED39534;21.15
QEDFF8200T-10;18.52
QEDH-01;53.74
QED3-201116/S;52.04
QEDMP15-38407;48.39
THE111177-00;35.82
ABKPMD-09A;40.65
ABKMD12-220V;38.24
ABKSMMS2-18-220V;44.56
ABKSMMS2-24-220V;37.99
ABKSTUBE1-12;28.43
ABKBMM2P-18;21.12
ABKBMM2S-0024;38.38
ABKBTUBE6-0984;31.86
5K-SCASE;-23.28
BM5K0000-010-L;29.39
BWS1-A-Y-BZ;24.91
CEBD02567-00;57.54
CEBF00360-00;84.74
CEBF00446-00;78.06
CEBF00473-00;72.53
CEBF00615-00;26.21
CEBF00711-00;36.35
CEBF00745-00;49.83
CEBREG-05-IND;53.7
CEE301209;32.53
CG2-A-100-58-BZ;25.69
CG2-IB-100-34AL-BZ;25.15
CG2-IB-100-58AL-BZ;32.6
DEFDT-PID-COL-1;36.36
EC-FX-NH3-LR-BZ;25.37
ECFX-100-AS-BZ;29.77
GA5000-04;29.97
GF18;35.82
GF25-L;23.24
GM5K0000-010-L;2.33
LAN3-00000-5233;51.15
LUM50-30-10046;32.21
M-510150-BZ;40.35
MC2-FPCB1-BZ-CEB;36.56
XT-AG-1-BZ;29.67
XT-RPUMP-K1-BZCEB;35.75
XTRFH5CEB;24.63
YSI116052-4;42.66
YSI116054-4;38.42
YSI599008-15;21.19
YSI605790-4;36.28
CEBF00622-00;69.4
CEB-BSB5004;23.55
CEBF00502-00;86.98
CEBF00369-00;93.55
CEBF00387-00;67.74
CEBF00410-00;32.53
CEBF00918-00;44.47
IONA-861509;27.66
IONTXXXSLBMP-0000;29.73
ION861476;40.77
IONA-846267;29.96
IONA-846629;34.62
IONA-861551;36.23
IONA-861632;30.69
IONA-873261;34.22
ECFX-1000-N-BZ;28.15
ECFX-250-N-BZ;34.06
HONMMT-01;32.07
HONMMS-C3;52.09
HONMMS-F3;42.6
HONMMS-G2;50.91
HONS3KCAL;35.9
HONSPXCDXSO1SS;36.08
SON24-0304;-212.93
SONHIDRS-16;41.42
SON20-0316;49.04
SON24-0306;50.24
YSI003822;39.96
YSI603824;32.69
YSI061322;37.26
YSI060907;13.67
YSI065270;29.85
YSI606072;33.94
YSI606325;34.19
YSI606950;37.68
YSIHIDPRO4-08;30.2
YSIHIDPRO4-13;36.26
YSIHIDPROSOLO-03;31.1
YSI599006;28.14
YSI599290;37.16
YSI599348;68.34
YSI599349;68.06
YSI599844;-65.2
YSI605402;40.35
YSI599007;20.3
YSI607300;32.25
YSI005560;42.37
YSI005565;29.19
YSI107044Y;41.54
YSI107071YK;20.7
YSI115104;31.51
YSI119088-01;39.22
YSI119094;42.68
YSI119155;40.91
YSI577602;35.75
YSI577603-02;49.68
YSI577613-01;25.55
YSI599065;52.5
YSI599090-01;31.54
YSI599101-01;34.74
YSI599110-01;36.48
YSI599288;21.73
YSI599469;31.14
YSI599666;26.79
YSI599680;30.25
YSI599681;18.97
YSI599820;41.25
YSI599870;34.97
YSI605101;36.22
YSI605102;36.28
YSI605203;35.43
YSI605306;41.97
YSI626900;41.01
YSI626964;45.11
YSI627200-4;26.22
YSI003823;40.16
YSI607400;37.76
YSI608000;33.75
CEBF00928-00;-1.98
LAN076654;38.26
LAN3-00000-5164;37.8
LAN3-2011108/S;39.65
LAN3-201130/S;39.46
CEBF00385-00;30.01
ESS1212-7000-GD;28.57
M5-PR-1-BZCEB;46.05
D06F-0010-001-BZ;28.2
M5-FC1-BZ;49.94
MC2SSK1CEB;25.04
SR-W-MP75C-BZ;29.28
SR-X2V-BZ;43.01
XT-FC1-1-BZ;44.89
XT-PC1-BZ;30.33
ISC60-6700-062;30.55
ISC60-9004-379;11.08
ISC68-5800-020;17.04
ISC68-5800-001;-3.53
ISC68-2100-007;4.4
ISC68-2960-024;50.84
ISC68-5800-015;6.99
ISC60-2974-048;42.51
HER1602-60M;34.52
HER1602-30M;37.72
